"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"1",1,1,"Chayarria, M. M.",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"2",2,2,"Crawford, A. J.",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"3",3,3,"Hallwachs, W.",8,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"4",4,4,"Janzen, D. H.",7,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"5",5,5,"Knight, M.",6,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"6",6,6,"Palmer, Cv",9,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"7",7,7,"Price, S. J.",10,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-6983-6250","WOS:000488866900011",1,"J","2019",NA
"8",8,8,"Puschendorf, R.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,"B-6280-2011","0000-0002-8105-171X","WOS:000488866900011",1,"J","2019",NA
"9",9,9,"Wallace, M.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"10",10,10,"Wynne, F.",5,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000488866900011",1,"J","2019",NA
"11",11,11,"Chaverri S, Luis Guillermo",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000486953500001",2,"J","2019",NA
"12",12,1412,"Denslow, Julie S.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000486953500001",2,"J","2019",NA
"13",13,13,"Vargas R, Orlando",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000486953500001",2,"J","2019",NA
"14",14,14,"Cross, Matthew D.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000487530100029",3,"J","2019",NA
"15",15,15,"Marshall, Wesley E.",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-3106-7342","WOS:000487530100029",3,"J","2019",NA
"16",16,49,"Pacifici, Fabio",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000487530100029",3,"J","2019",NA
"17",17,17,"Scambos, Theodore",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000487530100029",3,"J","2019",NA
"18",18,1344,"Jordal, Bjarte H.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000475289900001",4,"J","2019",NA
"19",19,19,"Kirkendall, Lawrence R.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000475289900001",4,"J","2019",NA
"20",20,76,"Allen, M. F.",13,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000481443800031",5,"J","2019",NA
"21",21,21,"Aronson, E. L.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000481443800031",5,"J","2019",NA
"22",22,78,"Artavia-Leon, A.",11,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-6774-5985","WOS:000481443800031",5,"J","2019",NA
"23",23,23,"Botthoff, J. K.",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000481443800031",5,"J","2019",NA
"24",24,262,"Dierick, D.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000481443800031",5,"J","2019",NA
"25",25,82,"Harmon, T. C.",6,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-7105-7133","WOS:000481443800031",5,"J","2019",NA
"26",26,26,"Johnson, R. F.",8,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000481443800031",5,"J","2019",NA
"27",27,27,"Matarrita-Carranza, B.",12,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000481443800031",5,"J","2019",NA
"28",28,173,"Oberbauer, S.",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000481443800031",5,"J","2019",NA
