"","filename","AB","AF","AU","CA","BP","C1","CR","DE","DI","EM","EP","FN","FU","PD","PG","PT","PU","PY","RI","OI","PM","RP","SC","SN","SO","TC","TI","UT","VL","WC","Z9","refID"
"1","LaSelvaPT_1-500.txt","Mesoamerican amphibian declines in apparently pristine and protected habitats have been severe, especially at elevations above 500 m sea level and have been linked to emerging diseases and a changing climate. The Craugastor punctariolus species series of direct developing frogs is endemic to the region and used to be comprised of 33 species, seven of which have known populations at present. One of these, C. ranoides, endemic to southern Nicaragua and Costa Rica, was historically found in cloud forest sites of area de Conservacion Guanacaste (ACG) in north-west Costa Rica and extended into dry forest sites 20 km distant. Here, C. ranoides declined and disappeared from high elevation sites between the mid-1980s and early 1990s, but populations persisted in the lowland dry forest. We compared the genetic richness and ranavirus infection status of C. ranoides from extant dry forest populations to historic museum specimens of now extinct ACG cloud forest populations using DNA sequence diversity at two mitochondrial loci and molecular screening for ranavirus. Extant dry forest populations of C. ranoides formed a monophyletic group which included historic specimens sampled at cloud forest sites. However, the extirpated ACG cloud forest population contained additional diversity: samples formed a divergent clade with unknown spatial distribution. Ranavirus was detected in both current and museum samples of C. ranoides and sequences from a 267-nucleotide region of the major capsid protein gene shared 100% sequence identity with one another and with Frog virus 3. Our findings document cryptic diversity within an endangered species that has demonstrated no recovery in cloud forests and raises questions about Ranavirus and its potential link to the amphibian declines in this system. The presence of the same C. ranoides clade within present day and historical samples suggests a potential for effective translocation and repopulation of extirpated cloud forest populations.","Puschendorf, R.
Wallace, M.
Chayarria, M. M.
Crawford, A. J.
Wynne, F.
Knight, M.
Janzen, D. H.
Hallwachs, W.
Palmer, Cv
Price, S. J.","Puschendorf, R
Wallace, M
Chayarria, MM
Crawford, AJ
Wynne, F
Knight, M
Janzen, DH
Hallwachs, W
Palmer, C
Price, SJ",NA,"515",NA,NA,NA,"10.1111/acv.12498",NA,"524","Clarivate Analytics Web of Science",NA,"OCT",NA,"J",NA,"2019",";Puschendorf, Robert/B-6280-2011","Price, Stephen/0000-0001-6983-6250;Puschendorf,Robert/0000-0002-8105-171X",NA,NA,NA,"1367-9430","ANIMAL CONSERVATION",NA,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","WOS:000488866900011","22",NA,NA,1
"2","LaSelvaPT_1-500.txt","Understory plants are an important component of the high plant species diversity characteristic of neotropical rain forests. Herbs, shrubs, understory trees, and saplings of canopy trees occupy a broadly uniform environment of abundant rainfall, low light levels, and high humidity. We asked whether this community at the La Selva Biological Station in the Caribbean lowlands of Costa Rica was structured by environmental filters such as soil origin, topographic position, and understory light availability. We used nested quadrats to assess effects of soil origin (recent alluvium, weathered alluvium, residual volcanic soil) and topographic position (ridges, mid-slopes and flats) on species composition, density, and diversity and measured six edaphic and understory light parameters. Non-metric multidimensional scaling ordinations were based on frequency of occurrence in 20 quadrats for 272 species in the shrub size class and 136 species in the small-tree size class for 17 sites. Three axes were correlated with composite environmental variables produced by principal component analysis representing slope, extractable phosphorus, and light. NMS site positions also reflected soil origin, topographic position, and geographic location. The analyses illustrated a complex community structured by species responses to environmental filters at multiple, interdigitated spatial scales. We suggest that light availability affected by canopy dynamics and dispersal limitation provides additional sources of variation in species distributions, which interact with edaphic patterns in complex ways. in Spanish is available with online material.","Denslow, Julie S.
Chaverri S, Luis Guillermo
Vargas R, Orlando","Denslow, JS
Chaverri, LG
Vargas, O",NA,"664",NA,NA,NA,"10.1111/btp.12704",NA,"673","Clarivate Analytics Web of Science",NA,"SEP",NA,"J",NA,"2019",NA,NA,NA,NA,NA,"0006-3606","BIOTROPICA",NA,"Patterns in a species-rich tropical understory plant community","WOS:000486953500001","51",NA,NA,2
"3","LaSelvaPT_1-500.txt","We evaluate several high-resolution remote sensing data products derived from WorldView-3 satellite imagery to determine which product or product grouping would be most applicable for identifying and mapping tropical tree species. The study site, La Selva Biological Station in Costa Rica, provides the infrastructure to facilitate collection of proper ground-truth data for image validation. An objective statistical analysis demonstrated that the WorldView-3 imagery, after applying a series of spectral and illumination image corrections, was able to accurately identify selected tree species. Specifically, this study defines the image bands and image-derived spectral vegetation indices that are the most effective for tree species discrimination. We show that corrected absolute reflectivity values from the green, red, red edge, and near-infrared are good differentiators of tropical tree species crowns. We also evaluate 14 possible multiband vegetation indices and show that two new indices developed here, using WorldView-3 image bands, have the highest discriminatory power for tropical tree species. A combination of both individual band information and vegetation indices would significantly improve image-based classification of tropical forests.","Cross, Matthew D.
Scambos, Theodore
Pacifici, Fabio
Marshall, Wesley E.","Cross, MD
Scambos, T
Pacifici, F
Marshall, WE",NA,"2934",NA,NA,NA,"10.1109/JSTARS.2019.2918487",NA,"2943","Clarivate Analytics Web of Science",NA,"AUG",NA,"J",NA,"2019",NA,"Marshall, Wesley/0000-0002-3106-7342",NA,NA,NA,"1939-1404","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE
SENSING",NA,"Determining Effective Meter-Scale Image Data and Spectral Vegetation
Indices for Tropical Forest Tree Species Differentiation","WOS:000487530100029","12",NA,NA,3
"4","LaSelvaPT_1-500.txt","Quantitative collecting efforts over the last several decades in Costa Rica have resulted in many new species of insects. The Arthropods of La Selva projects included collecting from a typical lowland Neotropical forest and up an altitudinal transect, and has provided many valuable samples of insects, spiders and mites potentially new to science. We describe 18 new species in the bark beetle genus Scolytodes Ferrari, 1867, 14 of which were collected during this project: S. angulus Jordal & Kirkendall, sp. nov., S. sufflatus Jordal & Kirkendall, sp. nov., S. squaw:Owns Jordal & Kirkendall, sp. nov., S. comosus Jordal & Kirkendall, sp. nov., S. spatulatus Jordal & Kirkendall, sp. nov., S. seriatus Jordal & Kirkendall, sp. nov., S. profundus Jordal & Kirkendall, sp. nov., S. catinus Jordal & Kirkendall, sp. nov., S. fimbriatus Jordal & Kirkendall, sp. nov., S. sulcifrons Jordal & Kirkendall, sp. nov., S. planifrons Jordal & Kirkendall, sp. nov., S. porosus Jordal & Kirkendall, sp. nov., S. mundus Jordal & Kirkendall, sp. nov., S. call sus Jordal & Kirkendall, sp. nov., S. parvipilus Jordal & Kirkendall, sp. nov., S. plena; Jordal & Kirkendall, sp. nov., S. niger Jordal & Kirkendall, sp. nov., and S. simplex Jordal & Kirkendall, sp. nov. One species, Scolytodes minutissimus Schedl, 1952, is redescribed to match the holotype. We give new Costa Rica records for S. costabilis Wood, 1974, which is the correct name for S. obesus Wood, 1975 (syn. nov.). We report Costa Rica as a new country record for six species: Scolytodes clusiacolens Wood, 1967, S. crinalis Wood, 1978, S. culcitatus (Blandford, 1897), S. libidos Wood, 1978, S. reticulatus (Wood, 1961), and S. spadix (Blackman, 1943). From a closely related genus, we provide the first record for Central America (and only the second collection) of Pycnarthrum fulgidumWood, 1977.","Jordal, Bjarte H.
Kirkendall, Lawrence R.","Jordal, BH
Kirkendall, LR",NA,"1",NA,NA,NA,"10.3897/zookeys.863.33183",NA,"34","Clarivate Analytics Web of Science",NA,"JUL 11",NA,"J",NA,"2019",NA,NA,"31341391",NA,NA,"1313-2989","ZOOKEYS",NA,"Rainforest and cloud forest Scolytodes (Curculionidae, Scolytinae,
Hexacolini) from the Arthropods of La Selva inventory in Costa Rica: new
species, new synonymy, new records","WOS:000475289900001",NA,NA,NA,4
"5","LaSelvaPT_1-500.txt","Global atmospheric methane growth rates have wildly fluctuated over the past three decades, which may be driven by the proportion of tropical land surface saturated by water. The El Nino/Southern Oscillation Event (ENSO) cycle drives large-scale climatic trends globally, with El Nino events typically bringing drier weather than La Nina. In a lowland tropical wet forest in Costa Rica, we measured methane flux bimonthly from March 2016 to June 2017 and using an automated chamber system. We observed a strong drying trend for several weeks during the El Nino in 2016, reducing soil moisture below normal levels. In contrast, soil conditions had high water content prior to the drought and during the moderate La Nina that followed. Soil moisture varied across the period studied and significantly impacted methane flux. Methane consumption was greater during the driest part of the El Nino period, while during La Nina and other time periods, soils had lower methane consumption. The mean methane flux observed was -0.022 mg CH4-C m(-2) hr(-1), and methane was consumed at all timepoints, with lower consumption in saturated soils. Our data show that month studied, and the correlation between soil type and month significantly drove methane flux trends. Our data indicate that ENSO cycles may impact biogenic methane fluxes, mediated by soil moisture conditions. Climate projections for Central America show dryer conditions and increased El Nino frequency, further exacerbating predicted drought. These trends may lead to negative climate feedbacks, with drier conditions increasing soil methane consumption from the atmosphere.","Aronson, E. L.
Dierick, D.
Botthoff, J. K.
Oberbauer, S.
Zelikova, T. J.
Harmon, T. C.
Rundel, P.
Johnson, R. F.
Swanson, A. C.
Pinto-Tomas, A. A.
Artavia-Leon, A.
Matarrita-Carranza, B.
Allen, M. F.","Aronson, EL
Dierick, D
Botthoff, JK
Oberbauer, S
Zelikova, TJ
Harmon, TC
Rundel, P
Johnson, RF
Swanson, AC
Pinto-Tomas, AA
Artavia-Leon, A
Matarrita-Carranza, B
Allen, MF",NA,"2267",NA,NA,NA,"10.1029/2018JG004832",NA,"2276","Clarivate Analytics Web of Science",NA,"JUL",NA,"J",NA,"2019",NA,"Artavia-Leon, Allan/0000-0002-6774-5985;Harmon,Thomas/0000-0001-7105-7133",NA,NA,NA,"2169-8953","JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES",NA,"ENSO-Influenced Drought Drives Methane Flux Dynamics in a Tropical Wet
Forest Soil","WOS:000481443800031","124",NA,NA,5
"6","LaSelvaPT_1-500.txt","The maintenance of biodiversity in tropical forests is thought to be dependent on fine-scale mechanisms of niche partitioning that allow species to coexist. This study examined whether three species of short-tailed fruit bat that co-occur at a lowland tropical forest site in Costa Rica (Carollia castanea, C. perspicillata, C. sowelli) avoid inter- and intraspecific competition through dietary specialization on species in the genus Piper. First, dietary composition was examined using faecal samples (N = 210), which yielded three main findings: (1) bat species and sexes vary in overall reliance on fruits of Piper, with a higher percentage of seeds of Piper detected in the diets of C. castanea (98.2%) and females (91.5%); (2) adults and juveniles partition species of Piper by habitat, with a lower percentage of mid- to late-successional species of Piper detected in adults (20.8%); and (3) overall, there is a strong dietary overlap among and within the three species of Carollia. Second, controlled choice experiments were conducted with individual bats (N = 123) to examine preferences for different species of Piper. These results indicated few differences in Piper preference based on bat species, sex, age class or reproductive status, suggesting preference is not the primary mechanism shaping the observed differences in dietary composition. Overall, the dietary composition and preference similarities suggest there is strong competition both among and within the three species of Carollia for food resources.","Maynard, Lauren D.
Ananda, Ariana
Sides, Maria Fernanda
Burk, Hannah
Whitehead, Susan R.","Maynard, LD
Ananda, A
Sides, MF
Burk, H
Whitehead, SR",NA,"165",NA,NA,NA,"10.1017/S0266467419000129",NA,"172","Clarivate Analytics Web of Science",NA,"JUL",NA,"J",NA,"2019",NA,"Maynard, Lauren/0000-0003-2059-1250",NA,NA,NA,"0266-4674","JOURNAL OF TROPICAL ECOLOGY",NA,"Dietary resource overlap among three species of frugivorous bat in Costa
Rica","WOS:000471023500003","35",NA,NA,6
"7","LaSelvaPT_1-500.txt","Protected areas have developed alongside intensive changes in land use and human settlements in the neighboring landscape. Here, we investigated the occurrence of 21 organochlorine pesticides (OCPs), 14 current use pesticides (CUPs), 47 halogenated flame retardants (HFRs), and 19 organophosphate esters (OPEs) in air around Las Cruces (LC) and La Selva (LS) Biological Stations, Costa Rica, and Kibale National Park (KNP), Uganda using passive air samplers (PAS) with polyurethane foam (PUF) discs (PAS-PUF). Significantly higher concentrations of CUPs were observed around LS, while LC had a higher concentration of OCPs. Land use analysis indicated that LS had a higher fraction of agriculture than LC (33% vs 14%), suggesting the higher CUPs concentration at LS was related to pesticide intensive crops, while higher OCPs concentration at LC may be attributed to the area's long agricultural history characterized by small-scale subsistence farming or long-range transport. In Uganda, CUPs and OCPs were generally lower than in Costa Rica, but high concentrations of HFRs were observed inside KNP, possibly due to human activity at research camps near the protected forest. This is the first study that documented the occurrence of anthropogenic chemicals in the air at protected areas with tropical forests.","Wang, Shaorui
Steiniche, Tessa
Romanak, Kevin A.
Johnson, Eric
Quiros, Rodolfo
Mutegeki, Richard
Wasserman, Michael D.
Venier, Marta","Wang, SR
Steiniche, T
Romanak, KA
Johnson, E
Quiros, R
Mutegeki, R
Wasserman, MD
Venier, M",NA,"6171",NA,NA,NA,"10.1021/acs.est.9b00649",NA,"6181","Clarivate Analytics Web of Science",NA,"JUN 4",NA,"J",NA,"2019",NA,NA,"31081620",NA,NA,"0013-936X","ENVIRONMENTAL SCIENCE & TECHNOLOGY",NA,"Atmospheric Occurrence of Legacy Pesticides, Current Use Pesticides, and
Flame Retardants in and around Protected Areas in Costa Rica and Uganda","WOS:000470793900007","53",NA,NA,7
"8","LaSelvaPT_1-500.txt","Accurate classification of tropical tree species is critical for understanding forest habitat, biodiversity, forest composition, biomass, and the role of trees in climate variability through carbon uptake. The aim of this study is to establish an accurate classification procedure for tropical tree species, specifically testing the feasibility of WorldView-3 (WV-3) multispectral imagery for this task. The specific study site is a defined arboretum within a well-known tropical forest research location in Costa Rica (La Selva Biological Station). An object-based classification is the basis for the analysis to classify six selected tree species. A combination of pre-processed WV-3 bands were inputs to the classification, and an edge segmentation process defined multi-pixel-scale tree canopies. WorldView-3 bands in the Green, Red, Red Edge, and Near-Infrared 2, particularly when incorporated in two specialized vegetation indices, provide high discrimination among the selected species. Classification results yield an accuracy of 85.37%, with minimal errors of commission (7.89%) and omission (14.63%). Shadowing in the satellite imagery had a significant effect on segmentation accuracy (identifying single-species canopy tops) and on classification. The methodology presented provides a path to better characterization of tropical forest species distribution and overall composition for improving biomass studies in a tropical environment.","Cross, Matthew
Scambos, Ted
Pacifici, Fabio
Vargas-Ramirez, Orlando
Moreno-Sanchez, Rafael
Marshall, Wesley","Cross, M
Scambos, T
Pacifici, F
Vargas-Ramirez, O
Moreno-Sanchez, R
Marshall, W",NA,NA,NA,NA,NA,"10.3390/rs11121411",NA,NA,"Clarivate Analytics Web of Science",NA,"JUN 2",NA,"J",NA,"2019",NA,NA,NA,NA,NA,"2072-4292","REMOTE SENSING",NA,"Classification of Tropical Forest Tree Species Using Meter-Scale Image
Data","WOS:000473794600017","11",NA,NA,8
"9","LaSelvaPT_1-500.txt","Tropical understory birds have declined due largely to habitat loss and fragmentation. Here, we revisited a study conducted three decades ago and used artificial nests to examine depredation rates in a Costa Rican biological corridor. Using camera trap data, we compared potential nest predator detection rates at experimental tinamou ground nests in La Selva Biological Station and at sites in five local forest fragments. Nest predator detections were positively associated with landscape-scale core forest and distance away from forest edge, as well as with local-scale human trails, and negatively associated with primary forest compared to secondary growth. Twenty-two of 52 artificial nests were depredated, which was similar to previous research in the area. Mammalian and avian predators were common nest predators, but unknown predators (presumably snakes) were responsible for half of nests lost. Nests within La Selva core forest had lower probability of nest loss compared to fragments despite exhibiting higher predator detection rates. Yet other fragmentation covariates such as distance from forest edge, nest occurrence on human trails, or forest age were not associated with nest loss. We suggest that concentrated foraging is the underlying mechanism behind the community interactions that we observed. Community members exist in concentrated use areas within forest fragments, which results in heightened predator foraging rates and thus stronger interactions in fragments despite more predators encountering the nests in core forest. Fragmentation is a global phenomenon and we suspect that concentrated community use of limited resources is driving species to interact more strongly than in natural ecosystems.","Fernandez, Christopher M.
Alvarez, Maria D. Vera
Cove, Michael, V","Fernandez, CM
Alvarez, MDV
Cove, MV",NA,"281",NA,NA,NA,"10.1007/s42965-019-00032-1",NA,"287","Clarivate Analytics Web of Science",NA,"JUN",NA,"J",NA,"2019",NA,"Cove, Michael/0000-0001-5691-0634",NA,NA,NA,"0564-3295","TROPICAL ECOLOGY",NA,"Heightened nest loss in tropical forest fragments despite higher
predator load in core forest","WOS:000485906300011","60",NA,NA,9
"10","LaSelvaPT_1-500.txt","The blind snake Anomalepis colombia was described based on a single specimen, and since the collection of this specimen by Kjell von Sneidern in January 1946, there are no records of other specimens in scientific collections. This species is known only from the type locality in La Selva, Pueblo Rico, Caldas, Colombia. In this study A. colombia is redescribed based on external morphology and a detailed osteological description of the skull, prepared by high-resolution x-ray computed tomography.","Marra Santos, Fidelis Junio
Reis, Roberto E.","Santos, FJM
Reis, RE",NA,"239",NA,NA,NA,"10.1643/CH-19-181",NA,"243","Clarivate Analytics Web of Science",NA,"JUN",NA,"J",NA,"2019",NA,"Marra Santos, Fidelis Junio/0000-0002-5140-2830",NA,NA,NA,"0045-8511","COPEIA",NA,"Redescription of the Blind Snake Anomalepis colombia (Serpentes:
Anomalepididae) Using High-Resolution X-Ray Computed Tomography","WOS:000472818500004","107",NA,NA,10
