,authorID,groupID,author_name,author_order,address,university,department,postal_code,city,state,country,RP_address,RI,OI,UT,refID,PT,PY,PU,,
6,6,6,"Zizka, Alexander",1,"German Ctr Integrat Biodivers Res iDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.",german ctr integrat biodivers res idiv,deutsch pl 5e,4103, leipzig,NA,germany,"german ctr integrat biodivers res idiv, deutsch pl 5e, d-04103 leipzig, germany.",NA,NA,WOS:000498024200001,1,J,NA,WILEY,,
1,1,1,"Azevedo, Josue",2,"Univ Gothenburg, Gothenburg Global Biodivers Ctr, Gothenburg, Sweden.",univ gothenburg,NA,NA,gothenburg global biodivers ctr,gothenburg,sweden,NA,NA,NA,WOS:000498024200001,1,J,NA,WILEY,,
4,4,4,"Leme, Elton",3,"Herbarium Bradeanum, Rio De Janeiro, Brazil.",herbarium bradeanum,NA,NA,rio de janeiro,NA,brazil,NA,NA,NA,WOS:000498024200001,1,J,NA,WILEY,,
5,5,5,"Neves, Beatriz",4,"Univ Fed Rio de Janeiro, Dept Bot, Museu Nacl, Rio De Janeiro, Brazil.",univ fed rio de janeiro,dept bot,NA,museu nacl,rio de janeiro,brazil,NA,NA,NA,WOS:000498024200001,1,J,NA,WILEY,,
3,3,3,"da Costa, Andrea Ferreira",5,"Univ Fed Rio de Janeiro, Dept Bot, Museu Nacl, Rio De Janeiro, Brazil.",univ fed rio de janeiro,dept bot,NA,museu nacl,rio de janeiro,brazil,NA,NA,NA,WOS:000498024200001,1,J,NA,WILEY,,
2,2,2,"Caceres, Daniel",6,"Univ Tecnol Panama, Panama City, Panama.",univ tecnol panama,NA,NA,panama city,NA,panama,NA,NA,NA,WOS:000498024200001,1,J,NA,WILEY,,
7,7,7,"Zizka, Georg",7,"Senckenberg Res Inst, Dept Bot & Mol Evolut, Frankfurt, Germany.",senckenberg res inst,senckenberg res inst,NA,dept bot & mol evolut,frankfurt,germany,NA,NA,NA,WOS:000498024200001,1,J,NA,WILEY,,
8,8,8,"Diaz-Ferguson, Edgardo E.",1,"City Knowledge, Coiba Sci Stn COIBA AIP, Panama City, Panama.",city knowledge,NA,NA,coiba sci stn coiba aip,panama city,panama,"city knowledge, coiba sci stn coiba aip, panama city, panama.",NA,NA,WOS:000485654700028,2,J,2019,ELSEVIER,,
9,9,9,"Hunter, Margaret E.",2,"US Geol Survey, Wetland & Aquat Res Ctr, 7920 NW 71st St, Gainesville, FL 32653 USA.",us geol survey,7920 nw 71st st,32653,gainesville,fl,usa,NA,NA,NA,WOS:000485654700028,2,J,2019,ELSEVIER,,
22,22,22,"Hayward, Matt W.",1,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",univ newcastle,sch environm & life sci,NA,callaghan,nsw ,australia,"univ pretoria, mammal res inst, lynwood rd, za-0028 pretoria, south africa.",F-3569-2010,0000-0002-5574-1653,WOS:000474668700003,3,J,2019,WILEY,,
