,authorID,groupID,author_name,author_order,address,university,department,postal_code,city,state,country,RP_address,RI,OI,UT,refID,PT,PY,PU
747,747,747,"Allen, Robert B.",4,"8 Roblyn Pl, Lincoln 7608, New Zealand.",8 roblyn pl,NA,NA,lincoln ,NA,new zealand,NA,NA,NA,WOS:000477640700008,71,J,2019,NA
3322,3322,1253,"Hoye, Toke T.",13,"Aarhus Univ, Arctic Res Ctr, Dept Biosci, DK-8000 Aarhus, Denmark.",aarhus univ,arctic res ctr,8000, aarhus,NA,denmark,NA,A-7701-2008,0000-0001-5387-3284,WOS:000402514900013,314,J,2017,NA
3340,3340,1272,"Schmidt, Niels Martin",24,"Aarhus Univ, Arctic Res Ctr, Dept Biosci, DK-8000 Aarhus, Denmark.",aarhus univ,arctic res ctr,8000, aarhus,NA,denmark,NA,G-3843-2011,0000-0002-4166-6218,WOS:000402514900013,314,J,2017,NA
362,362,362,"Balslev, Henrik",3,"Aarhus Univ, Dept Biosci, Aarhus C, Denmark.",aarhus univ,NA,NA,dept biosci,aarhus c,denmark,NA,NA,NA,WOS:000477017900013,37,J,2019,NA
1253,1253,1253,"Hoye, Toke T.",4,"Aarhus Univ, Dept Biosci, Aarhus, Denmark.",aarhus univ,NA,NA,dept biosci,aarhus,denmark,NA,A-7701-2008,0000-0001-5387-3284,WOS:000453767000013,129,J,2019,NA
1272,1272,1272,"Schmidt, Niels Martin",28,"Aarhus Univ, Dept Biosci, Aarhus, Denmark.",aarhus univ,NA,NA,dept biosci,aarhus,denmark,NA,G-3843-2011,0000-0002-4166-6218,WOS:000453767000013,129,J,2019,NA
5694,5694,5538,"Ordonez, Alejandro",10,"Aarhus Univ, Dept Biosci, Aarhus, Denmark.",aarhus univ,NA,NA,dept biosci,aarhus,denmark,NA,I-7950-2013,0000-0003-2873-4551,WOS:000354121600010,617,J,2015,NA
7151,7151,7151,"Jones, Mirkka M.",1,"Aarhus Univ, Dept Biosci, Ecoinformat & Biodivers Grp, DK-8000 Aarhus C, Denmark.",aarhus univ,dept biosci,8000, aarhus c,NA,denmark,"aarhus univ, dept biosci, ecoinformat & biodivers grp, dk-8000 aarhus c, denmark.",M-8948-2018,0000-0002-8157-8730,WOS:000317923300024,810,J,2013,NA
1243,1243,1243,"Bjorkman, Anne D.",5,"Aarhus Univ, Dept Biosci, Ecoinformat & Biodivers, Aarhus, Denmark.",aarhus univ,dept biosci,NA,ecoinformat & biodivers,aarhus,denmark,NA,H-2211-2016,0000-0003-2174-7800,WOS:000453767000013,129,J,2019,NA
324,324,1243,"Bjorkman, Anne D.",12,"Aarhus Univ, Dept Biosci, Grp Informat & Biodivers, Aarhus, Denmark.",aarhus univ,dept biosci,NA,grp informat & biodivers,aarhus,denmark,NA,NA,NA,WOS:000478622500002,34,J,2019,NA
