"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"1",1,1599,"Comita, Liza S.",3,"Yale Univ, Sch Forestry & Environm Studies, New Haven, CT USA.","yale univ",NA,NA,"new haven","ct","usa",NA,NA,NA,"WOS:000490308400001",1,"J",NA,"WILEY"
"2",2,2,"Manzane-Pinzon, Eric",2,"Yale Univ, Sch Forestry & Environm Studies, New Haven, CT USA.","yale univ",NA,NA,"new haven","ct","usa",NA,NA,NA,"WOS:000490308400001",1,"J",NA,"WILEY"
"3",3,3,"Umana, Maria N.",1,"Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA.","univ michigan","dept ecol & evolutionary biol","48109","ann arbor","mi","usa","univ michigan, dept ecol & evolutionary biol, ann arbor, mi 48109 usa.",NA,NA,"WOS:000490308400001",1,"J",NA,"WILEY"
"4",4,4,"Garcia-Gomez, Arturo",1,"Univ Nacl Autonoma Mexico, Lab Ecol & Sistemat Microartropodas, Dept Ecol Recursos Nat, Fac Ciencias, Mexico City 04510, DF, Mexico.","univ nacl autonoma mexico","lab ecol & sistemat microartropodas"," 04510","mexico city","df","mexico","univ nacl autonoma mexico, lab ecol & sistemat microartropodas, dept ecol recursos nat, fac ciencias, mexico city 04510, df, mexico.",NA,NA,"WOS:000487931900005",2,"J","2019","MAGNOLIA PRESS"
"5",5,5,"Palacios-Vargas, Jose G.",2,"Univ Nacl Autonoma Mexico, Lab Ecol & Sistemat Microartropodas, Dept Ecol Recursos Nat, Fac Ciencias, Mexico City 04510, DF, Mexico.","univ nacl autonoma mexico","lab ecol & sistemat microartropodas"," 04510","mexico city","df","mexico",NA,NA,NA,"WOS:000487931900005",2,"J","2019","MAGNOLIA PRESS"
"6",6,6,"Bonal, Damien",7,"Univ Lorraine, INRA, AgroParisTech, UMR Silva, Nancy, France.","univ lorraine","inra",NA,"umr silva","nancy","france",NA,NA,NA,"WOS:000485474500001",3,"J","2019","WILEY"
"7",7,7,"di Porcia e Brugnera, Manfredo",1,"Univ Ghent, CAVElab Computat & Appl Vegetat Ecol, Ghent, Belgium.","univ ghent",NA,NA,"cavelab computat & appl vegetat ecol","ghent","belgium","univ ghent, cavelab computat & appl vegetat ecol, ghent, belgium.",NA,NA,"WOS:000485474500001",3,"J","2019","WILEY"
"8",8,8,"De Deurwaerder, Hannes",5,"Univ Ghent, CAVElab Computat & Appl Vegetat Ecol, Ghent, Belgium.","univ ghent",NA,NA,"cavelab computat & appl vegetat ecol","ghent","belgium",NA,NA,NA,"WOS:000485474500001",3,"J","2019","WILEY"
"9",9,9,"Faybishenko, Boris",8,"Lawrence Berkeley Natl Lab, Earth & Environm Sci Area, Berkeley, CA USA.","lawrence berkeley natl lab",NA,NA,"berkeley","ca","usa",NA,"G-3363-2015","0000-0003-0085-8499","WOS:000485474500001",3,"J","2019","WILEY"
"10",10,10,"Longo, Marcos",3,"Embrapa Agr Informat, Campinas, SP, Brazil.","embrapa agr informat",NA,NA,"campinas","sp","brazil",NA,"F-5033-2014","0000-0001-5062-6245","WOS:000485474500001",3,"J","2019","WILEY"
"11",11,11,"Meunier, Felicien",2,"Univ Ghent, CAVElab Computat & Appl Vegetat Ecol, Ghent, Belgium.","univ ghent",NA,NA,"cavelab computat & appl vegetat ecol","ghent","belgium",NA,NA,"0000-0003-2486-309X","WOS:000485474500001",3,"J","2019","WILEY"
"12",12,12,"Moorthy, Sruthi M. Krishna",4,"Univ Ghent, CAVElab Computat & Appl Vegetat Ecol, Ghent, Belgium.","univ ghent",NA,NA,"cavelab computat & appl vegetat ecol","ghent","belgium",NA,NA,NA,"WOS:000485474500001",3,"J","2019","WILEY"
"13",13,13,"Schnitzer, Stefan A.",6,"Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa","ancon","panama",NA,NA,"0000-0002-2715-9455","WOS:000485474500001",3,"J","2019","WILEY"
"14",14,14,"Verbeeck, Hans",9,"Univ Ghent, CAVElab Computat & Appl Vegetat Ecol, Ghent, Belgium.","univ ghent",NA,NA,"cavelab computat & appl vegetat ecol","ghent","belgium",NA,NA,NA,"WOS:000485474500001",3,"J","2019","WILEY"
"15",15,15,"Donoso, David A.",2,"Escuela Politec Nacl, Dept Biol, Quito, Ecuador.","escuela politec nacl",NA,NA,"dept biol","quito","ecuador","escuela politec nacl, dept biol, quito, ecuador.",NA,NA,"WOS:000489996500005",4,"J","2019","AMER SOC ICHTHYOLOGISTS & HERPETOLOGISTS"
"16",16,16,"McElroy, Matthew T.",1,"Univ Calif Berkeley, Environm Sci Policy & Management, Berkeley, CA 94720 USA.","univ calif berkeley","environm sci policy & management","94720","berkeley","ca","usa",NA,NA,NA,"WOS:000489996500005",4,"J","2019","AMER SOC ICHTHYOLOGISTS & HERPETOLOGISTS"
"17",17,17,"Blanchet, F. Guillaume",2,"McMaster Univ, Dept Math & Stat, Hamilton Hall,Room 218,1280 Main St West, Hamilton, ON L8S 4K1, Canada.","mcmaster univ","dept math & stat"," l8s 4k1","on",NA,"canada",NA,NA,"0000-0001-5149-2488","WOS:000478103000021",5,"J","2019","WILEY"
"18",18,18,"Higa, Motoki",3,"Kochi Univ, Fac Sci & Technol, 2-5-1 Akebono Cho, Kochi 7808520, Japan.","kochi univ","fac sci & technol"," 78085","kochi",NA,"japan",NA,NA,NA,"WOS:000478103000021",5,"J","2019","WILEY"
"19",19,19,"Yamaura, Yuichi",1,"Forestry & Forest Prod Res Inst, Dept Forest Vegetat, 1 Matsunosato, Tsukuba, Ibaraki 3058687, Japan.","forestry & forest prod res inst","forestry & forest prod res inst"," 30586","ibaraki",NA,"japan","forestry & forest prod res inst, shikoku res ctr, 2-915 asakuranishi, kochi 7808077, japan.","A-3638-2012","0000-0001-9355-4413","WOS:000478103000021",5,"J","2019","WILEY"
"20",20,20,"Kitching, Roger L.",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000474020700011",6,"J","2019","WILEY"
"21",21,876,"Odell, Erica H.",1,"Griffith Univ, Environm Futures Res Inst, Nathan, Qld, Australia.","griffith univ","environm futures res inst",NA,"nathan","qld","australia","griffith univ, environm futures res inst, nathan, qld, australia.",NA,NA,"WOS:000474020700011",6,"J","2019","WILEY"
"22",22,22,"Stork, Nigel E.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000474020700011",6,"J","2019","WILEY"
"23",23,98,"Barrios, Hector",10,"Univ Panama, Entomol, Panama City, Panama.","univ panama",NA,NA,"entomol","panama city","panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"24",24,99,"Basset, Yves",2,"Smithsonian Trop Res Inst, ForestGEO, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"forestgeo","balboa","panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"25",25,25,"Brown, John W.",11,"Smithsonian Inst, Natl Museum Nat Hist, Washington, DC 20560 USA.","smithsonian inst","natl museum nat hist","20560","washington","dc","usa",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"26",26,120,"Calderon, Osvaldo",12,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"27",27,27,"Cedeno-Sanchez, Marjorie",8,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"28",28,28,"Cognato, Anthony I.",13,"Michigan State Univ, Dept Entomol, E Lansing, MI 48824 USA.","michigan state univ","dept entomol","48824","e lansing","mi","usa",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"29",29,138,"Fernandez, D. Catalina",7,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"30",30,105,"Gripenberg, Sofia",1,"Univ Reading, Sch Biol Sci, Reading, Berks, England.","univ reading","sch biol sci",NA,"reading","berks","england","univ turku, biodivers unit, turku, finland.",NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"31",31,31,"Kim, Jorma",14,"Univ Turku, Dept Chem, Turku, Finland.","univ turku",NA,NA,"dept chem","turku","finland",NA,NA,"0000-0002-6699-5616","WOS:000478534300001",7,"J","2019","WILEY"
"32",32,32,"Lewis, Owen T.",3,"Univ Oxford, Dept Zool, Oxford, England.","univ oxford",NA,NA,"dept zool","oxford","england",NA,NA,"0000-0001-7935-6111","WOS:000478534300001",7,"J","2019","WILEY"
"33",33,33,"Miller, Scott E.",15,"Smithsonian Inst, Natl Museum Nat Hist, Washington, DC 20560 USA.","smithsonian inst","natl museum nat hist","20560","washington","dc","usa",NA,NA,"0000-0002-4138-1378","WOS:000478534300001",7,"J","2019","WILEY"
"34",34,34,"Morse, Geoffrey E.",16,"Univ San Diego, Biol Dept, San Diego, CA 92110 USA.","univ san diego","biol dept","92110","san diego","ca","usa",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"35",35,35,"Pinzon-Navarro, Sara",17,"Univ Panama, Entomol, Panama City, Panama.","univ panama",NA,NA,"entomol","panama city","panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"36",36,36,"Quicke, Donald L. J.",18,"Chulalongkorn Univ, Dept Biol, Integrat Ecol Lab, Fac Sci, Bangkok, Thailand.","chulalongkorn univ","dept biol",NA,"fac sci","bangkok","thailand",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"37",37,805,"Rivera, Marleny",9,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"38",38,38,"Robbins, Robert K.",19,"Smithsonian Inst, Natl Museum Nat Hist, Washington, DC 20560 USA.","smithsonian inst","natl museum nat hist","20560","washington","dc","usa",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"39",39,363,"Salminen, Juha-Pekka",20,"Univ Turku, Dept Chem, Turku, Finland.","univ turku",NA,NA,"dept chem","turku","finland",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"40",40,40,"Simon, Indira",6,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"41",41,41,"Terry, J. Christopher D.",4,"Univ Oxford, Dept Zool, Oxford, England.","univ oxford",NA,NA,"dept zool","oxford","england",NA,NA,"0000-0002-0626-9938","WOS:000478534300001",7,"J","2019","WILEY"
"42",42,278,"Vesterinen, Eero",21,"Univ Turku, Biodivers Unit, Turku, Finland.","univ turku",NA,NA,"biodivers unit","turku","finland",NA,NA,NA,"WOS:000478534300001",7,"J","2019","WILEY"
"43",43,43,"Wright, S. Joseph",5,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,"M-3311-2013","0000-0003-4260-5676","WOS:000478534300001",7,"J","2019","WILEY"
"44",44,44,"Armitage, David W.",2,"Univ Notre Dame, Dept Biol Sci, Notre Dame, IN 46556 USA.","univ notre dame","dept biol sci","46556","notre dame","in","usa",NA,NA,NA,"WOS:000475395000017",8,"J","2019","WILEY"
"45",45,683,"Milton, Katharine",1,"Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA.","univ calif berkeley","dept environm sci policy & management","94720","berkeley","ca","usa",NA,NA,NA,"WOS:000475395000017",8,"J","2019","WILEY"
"46",46,46,"Sousa, Wayne P.",3,"Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.","univ calif berkeley","dept integrat biol","94720","berkeley","ca","usa","univ calif berkeley, dept integrat biol, berkeley, ca 94720 usa.",NA,NA,"WOS:000475395000017",8,"J","2019","WILEY"
"47",47,367,"Chen, Youhua",2,"Nanjing Forestry Univ, Coll Econ & Management, Nanjing 210037, Jiangsu, Peoples R China.","nanjing forestry univ","coll econ & management"," 21003","nanjing","jiangsu","peoples r china","natl chung hsing univ, dept appl math, 250 kuo kuang rd, taichung 40227, taiwan.",NA,NA,"WOS:000472984800008",9,"J","2019","ELSEVIER SCIENCE BV"
"48",48,48,"Shen, Tsung-Jen",3,"Natl Chung Hsing Univ, Inst Stat, 250 Kuo Kuang Rd, Taichung 40227, Taiwan.","natl chung hsing univ","inst stat"," 40227","taichung",NA,"taiwan",NA,NA,"0000-0002-1742-9730","WOS:000472984800008",9,"J","2019","ELSEVIER SCIENCE BV"
"49",49,49,"Wu, Yongbin",1,"South China Agr Univ, Coll Forestry & Landscape Architecture, Guangzhou 510642, Guangdong, Peoples R China.","south china agr univ","coll forestry & landscape architecture"," 51064","guangzhou","guangdong","peoples r china",NA,NA,NA,"WOS:000472984800008",9,"J","2019","ELSEVIER SCIENCE BV"
"50",50,50,"Gorczyca, Jacek",1,"Univ Silesia Katowice, Dept Zool, Bankowa 9, PL-40007 Katowice, Poland.","univ silesia katowice","dept zool","40007"," katowice",NA,"poland",NA,NA,NA,"WOS:000472656500004",10,"J","2019","MAGNOLIA PRESS"
"51",51,51,"Taszakowski, Artur",3,"Univ Silesia Katowice, Dept Zool, Bankowa 9, PL-40007 Katowice, Poland.","univ silesia katowice","dept zool","40007"," katowice",NA,"poland","univ silesia katowice, dept zool, bankowa 9, pl-40007 katowice, poland.",NA,NA,"WOS:000472656500004",10,"J","2019","MAGNOLIA PRESS"
"52",52,52,"Wolski, Andrzej",2,"Univ Opole, Inst Biol, Oleska 22, PL-45052 Opole, Poland.","univ opole","inst biol","45052"," opole",NA,"poland",NA,NA,NA,"WOS:000472656500004",10,"J","2019","MAGNOLIA PRESS"
"53",53,53,"Adams, Benjamin J.",1,"Nat Hist Museum Los Angeles Cty, Urban Nat Res Ctr, Los Angeles, CA 90007 USA.","nat hist museum los angeles cty","urban nat res ctr","90007","los angeles","ca","usa",NA,NA,"0000-0002-5857-175X","WOS:000474127300011",11,"J","2019","WILEY"
