"","authorID","university","postal_code","country","lat","lon","groupID","author_order","address","department","RP_address","RI","OI","UT","refID"
"1",1,"forest res inst malaysia",NA,"malaysia",2.5,112.5,6216,61,"Forest Res Inst Malaysia, Selangor Darul Ehsan, Malaysia.","forest res inst malaysia",NA,NA,NA,"WOS:000491025800008",1
"2",2,"univ brunei darussalam",NA,"brunei",4.94029,114.94806,2390,4,"Univ Brunei Darussalam, Fac Sci, Bandar Seri Begawan, Brunei.",NA,NA,NA,NA,"WOS:000491025800008",1
"3",3,"middlebury coll",NA,"usa",43.991942,-73.171578,3,5,"Middlebury Coll, Dept Biol, Middlebury, VT USA.",NA,NA,NA,"0000-0002-0712-9603","WOS:000491025800008",1
"4",4,"inst invest recursos biol alexander von humboldt",NA,"colombia",4.60971,-74.08175,4,6,"Inst Invest Recursos Biol Alexander von Humboldt, Bogota, Colombia.","inst invest recursos biol alexander von humboldt",NA,NA,NA,"WOS:000491025800008",1
"5",5,"smithsonian conservat biol inst",NA,"usa",38.928308,-78.174537,4273,7,"Smithsonian Conservat Biol Inst, Front Royal, VA USA.",NA,NA,NA,NA,"WOS:000491025800008",1
"6",6,"natl ctr genet engn & biotechnol",NA,"thailand",14.04554,100.63955,6547,8,"Natl Ctr Genet Engn & Biotechnol, Klongluang, Pathum Thani, Thailand.",NA,NA,NA,NA,"WOS:000491025800008",1
"7",7,"dept natl pk wildlife & plant conservat",NA,"thailand",13.75398,100.50144,4371,9,"Dept Natl Pk Wildlife & Plant Conservat, Res Off, Bangkok, Thailand.",NA,NA,NA,NA,"WOS:000491025800008",1
"8",8,"univ queensland",NA,"australia",-27.5,153,6801,10,"Univ Queensland, Ctr Excellence Environm Decis, Australlan Res Council, St Lucia, Qld, Australia.","ctr excellence environm decis",NA,NA,NA,"WOS:000491025800008",1
"9",9,"chinese acad sci",NA,"peoples r china",35,105,1018,11,"Chinese Acad Sci, Key Lab Trop Forest Ecol, Xishuangbanna Trop Bot Garden, Kunming, Yunnan, Peoples R China.","key lab trop forest ecol",NA,NA,NA,"WOS:000491025800008",1
"10",10,"kasetsart univ",NA,"thailand",15,100,10,12,"Kasetsart Univ, Fac Environm, Dept Environm Technol & Management, Bangkok, Thailand.","fac environm",NA,NA,NA,"WOS:000491025800008",1
"11",11,"natl chiayi univ",NA,"taiwan",24,121,2075,13,"Natl Chiayi Univ, Dept Forestry & Nat Resources, Chiayi, Taiwan.",NA,NA,NA,NA,"WOS:000491025800008",1
"12",12,"natl univ singapore",NA,"singapore",1.28967,103.85007,2243,2,"Natl Univ Singapore, Dept Biol Sci, Singapore, Singapore.",NA,NA,NA,NA,"WOS:000491025800008",1
"13",13,"indiana univ",NA,"usa",39.07881,-86.435094,1708,14,"Indiana Univ, Dept Biol, Bloomington, IN USA.",NA,NA,NA,NA,"WOS:000491025800008",1
"14",14,"field museum nat hist","60605","usa",41.850033,-87.650052,515,15,"Field Museum Nat Hist, Chicago, IL 60605 USA.",NA,NA,NA,NA,"WOS:000491025800008",1
"15",15,"inst pacific isl forestry",NA,"usa",19.564519,-155.26203,2081,16,"Inst Pacific Isl Forestry, Pacific Southwest Res Stn, Hilo, HI USA.",NA,NA,NA,NA,"WOS:000491025800008",1
"16",16,"inpa",NA,"brazil",-3.10194,-60.025,7272,17,"INPA, PDBFF, Manaus, Amazonas, Brazil.","pdbff",NA,NA,NA,"WOS:000491025800008",1
"17",17,"indian inst sci","rnata","india",20,77,2082,18,"Indian Inst Sci, Ctr Ecol Sci, Bangalore, Karnataka, India.","indian inst sci",NA,NA,NA,"WOS:000491025800008",1
"18",18,"smithsonian trop res inst",NA,"panama",8.95,-79.56667,766,3,"Smithsonian Trop Res Inst, Forest Global Earth Observ, Balboa, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000491025800008",1
"19",19,"inpa",NA,"brazil",-3.10194,-60.025,19,19,"INPA, PDBFF, Manaus, Amazonas, Brazil.","pdbff",NA,NA,NA,"WOS:000491025800008",1
"20",20,"univ sao paulo","encia","brazil",-23.5475,-46.63611,20,20,"Univ Sao Paulo, Inst Biociencias, Sao Paulo, Brazil.",NA,NA,NA,NA,"WOS:000491025800008",1
"21",21,"wageningen univ",NA,"netherlands",51.97,5.66667,21,21,"Wageningen Univ, Dept Environm Sci, Wageningen, Netherlands.",NA,NA,NA,NA,"WOS:000491025800008",1
"22",22,"univ waterloo",NA,"canada",43.4668,-80.51639,7387,22,"Univ Waterloo, Fac Environm, Sch Planning, Waterloo, ON, Canada.","fac environm",NA,NA,NA,"WOS:000491025800008",1
"23",23,"forest res inst malaysia",NA,"malaysia",2.5,112.5,4676,23,"Forest Res Inst Malaysia, Selangor Darul Ehsan, Malaysia.","forest res inst malaysia",NA,NA,NA,"WOS:000491025800008",1
