"","authorID","groupID","match_name","matchID","similarity","confidence","flagged","AU","AF","author_order","address","RP_address","RI","OI","EM","refID","TA","SO","UT","PT","PU","PY","university","country","state","postal_code","city","department"
"1",1,1,NA,NA,NA,NA,0,"Chayarria, MM","Chayarria, M. M.",3,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"2",2,2,NA,NA,NA,NA,0,"Crawford, AJ","Crawford, A. J.",4,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"3",3,3,NA,NA,NA,NA,0,"Hallwachs, W","Hallwachs, W.",8,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"4",4,4,NA,NA,NA,NA,0,"Janzen, DH","Janzen, D. H.",7,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"5",5,5,NA,NA,NA,NA,0,"Knight, M","Knight, M.",6,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"6",6,6,NA,NA,NA,NA,0,"Palmer, C","Palmer, Cv",9,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"7",7,7,NA,NA,NA,NA,0,"Price, SJ","Price, S. J.",10,"Could not be extracted",NA,NA,"0000-0001-6983-6250",NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"8",8,8,NA,NA,NA,NA,0,"Puschendorf, R","Puschendorf, R.",1,"Could not be extracted",NA,"B-6280-2011","0000-0002-8105-171X",NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"9",9,9,NA,NA,NA,NA,0,"Wallace, M","Wallace, M.",2,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"10",10,10,NA,NA,NA,NA,0,"Wynne, F","Wynne, F.",5,"Could not be extracted",NA,NA,NA,NA,1,"Cryptic diversity and ranavirus infection of a critically endangered
Neotropical frog before and after population collapse","ANIMAL CONSERVATION","WOS:000488866900011","J",NA,"2019",NA,NA,NA,NA,NA,NA
"11",11,11,NA,NA,NA,NA,0,"Chaverri, LG","Chaverri S, Luis Guillermo",2,"Could not be extracted",NA,NA,NA,NA,2,"Patterns in a species-rich tropical understory plant community","BIOTROPICA","WOS:000486953500001","J",NA,"2019",NA,NA,NA,NA,NA,NA
"12",12,1412,"DENSLOW, JS",1412,0.938461538461538,4,0,"Denslow, JS","Denslow, Julie S.",1,"Could not be extracted",NA,NA,NA,NA,2,"Patterns in a species-rich tropical understory plant community","BIOTROPICA","WOS:000486953500001","J",NA,"2019",NA,NA,NA,NA,NA,NA
