"","authorID","AU","AF","groupID","match_name","matchID","similarity","confidence","university","department","postal_code","country","address","RP_address","RI","OI","EM","UT","author_order","refID","PT","PY","PU"
"46",46,"Cross, M","Cross, Matthew",14,"Cross, Matthew D.",14,0.956043956043956,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000473794600017",1,8,"J","2019",NA
"14",14,"Cross, MD","Cross, Matthew D.",14,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000487530100029",1,3,"J","2019",NA
"150",150,"Cross, MD","Cross, Matthew D.",14,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000427865400001",1,32,"J","2018",NA
"47",47,"Marshall, W","Marshall, Wesley",15,"Marshall, Wesley E.",15,0.961666666666667,4,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000473794600017",6,8,"J","2019",NA
"15",15,"Marshall, WE","Marshall, Wesley E.",15,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,"0000-0002-3106-7342",NA,"WOS:000487530100029",4,3,"J","2019",NA
"151",151,"Marshall, WE","Marshall, Wesley E.",15,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,"0000-0002-3106-7342",NA,"WOS:000427865400001",4,32,"J","2018",NA
"16",16,"Pacifici, F","Pacifici, Fabio",49,"Pacifici, Fabio",49,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000487530100029",3,3,"J","2019",NA
"49",49,"Pacifici, F","Pacifici, Fabio",49,"Pacifici, Fabio",152,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000473794600017",3,8,"J","2019",NA
"152",152,"Pacifici, F","Pacifici, Fabio",49,"Pacifici, Fabio",16,1,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000427865400001",3,32,"J","2018",NA
"389",389,"Cove, M","Cove, Michael",53,"Cove, Michael, V",53,0.969230769230769,2,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000349242600008",1,102,"J","2014",NA
"53",53,"Cove, MV","Cove, Michael, V",53,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,"0000-0001-5691-0634",NA,"WOS:000485906300011",3,9,"J","2019",NA
"230",230,"Cove, MV","Cove, Michael V.",53,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000373952000008",2,59,"J","2016",NA
"346",346,"Cove, MV","Cove, Michael V.",53,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000337972400020",1,92,"J","2014",NA
"505",505,"Cove, MV","Cove, Michael V.",53,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000338643800007",1,133,"J","2013",NA
"1331",1331,"Kobe, RK","Kobe, RK",74,"Kobe, Richard K.",74,0.85,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000078045600014",1,402,"J","1999",NA
"74",74,"Kobe, RK","Kobe, Richard K.",74,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"M-1054-2014",NA,NA,"WOS:000461112200044",2,15,"J","2019",NA
"270",270,"Kobe, RK","Kobe, Richard K.",74,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"M-1054-2014",NA,NA,"WOS:000363559800022",2,69,"J","2015",NA
"442",442,"Kobe, RK","Kobe, Richard K.",74,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"M-1054-2014",NA,NA,"WOS:000324839400002",4,116,"J","2013",NA
"586",586,"Kobe, RK","Kobe, Richard K.",74,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"M-1054-2014",NA,NA,"WOS:000304370800003",2,153,"J","2012",NA
"622",622,"Kobe, RK","Kobe, Richard K.",74,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"M-1054-2014",NA,NA,"WOS:000294152800014",2,164,"J","2011",NA
"851",851,"Kobe, RK","Kobe, Richard K.",74,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,"M-1054-2014",NA,NA,"WOS:000258007500011",2,228,"J","2008",NA
"20",20,"Allen, MF","Allen, M. F.",76,"Allen, M. F.",76,1,2,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000481443800031",13,5,"J","2019",NA
"76",76,"Allen, MF","Allen, M. F.",76,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000460859100005",4,16,"J","2019",NA
"22",22,"Artavia-Leon, A","Artavia-Leon, A.",78,"Artavia-Leon, A.",78,1,5,NA,NA,NA,NA,"Could not be extracted",NA,NA,"0000-0002-6774-5985",NA,"WOS:000481443800031",11,5,"J","2019",NA
"78",78,"Artavia-Leon, A","Artavia-Leon, A.",78,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000460859100005",6,16,"J","2019",NA
